time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-08-23T03:27:06.000Z,63.0161,-150.9288,114.8,2.8,ml,,,,0.49,ak,ak11683532,2015-08-23T11:29:47.640Z,"87km NNW of Talkeetna, Alaska",earthquake
2015-08-23T02:08:43.680Z,38.8406,141.6736,76.4,4.6,mb,,139,1.193,0.95,us,us1000349s,2015-08-23T10:11:20.746Z,"25km S of Ofunato, Japan",earthquake
2015-08-22T23:18:52.000Z,61.3239,-147.3706,3.2,3.3,ml,,,,0.84,ak,ak11683499,2015-08-23T03:56:09.291Z,"58km WNW of Valdez, Alaska",earthquake
2015-08-22T22:41:24.510Z,-38.5556,-72.5974,46.87,4,mb,,173,0.659,0.94,us,us100034de,2015-08-23T22:52:33.410Z,"13km WSW of Lautaro, Chile",earthquake
2015-08-22T21:56:19.700Z,19.0149,-67.9941,63,3.1,Md,10,252,0.61893923,0.31,pr,pr15234015,2015-08-23T05:58:49.302Z,"64km NE of Punta Cana, Dominican Republic",earthquake
2015-08-22T19:31:55.930Z,-21.8589,-177.9172,378.27,4.5,mb,,85,5.58,0.75,us,us1000348z,2015-08-23T03:34:38.681Z,"156km SSE of Ndoi Island, Fiji",earthquake
2015-08-22T19:10:58.100Z,18.6457,-64.3385,64,2.9,Md,4,309.6,0.16618833,0.07,pr,pr15234013,2015-08-23T03:13:41.385Z,"38km NE of Road Town, British Virgin Islands",earthquake
2015-08-22T18:19:59.900Z,18.8915,-68.069,91,2.9,Md,8,244.8,0.47790373,0.1,pr,pr15234012,2015-08-25T14:44:18.040Z,"49km NE of Punta Cana, Dominican Republic",earthquake
2015-08-22T17:38:38.720Z,-17.5356,-178.7682,550.65,4.6,mb,,65,3.038,1.06,us,us1000348k,2015-08-25T14:40:12.318Z,"232km ESE of Lambasa, Fiji",earthquake
2015-08-22T17:18:34.340Z,32.8298333,-118.4561667,5.768,2.68,ml,13,224,0.08903,0.35,ci,ci37231319,2015-08-24T21:14:46.085Z,"10km W of San Clemente Is. (SE tip), California",earthquake
2015-08-22T15:28:46.900Z,19.211,-65.3328,45,3,Md,9,248.4,0.89831528,0.1,pr,pr15234011,2015-08-22T23:31:30.025Z,"100km N of Culebra, Puerto Rico",earthquake
2015-08-22T14:24:44.000Z,53.2469,-166.9967,21.6,2.5,ml,,,,0.49,ak,ak11683266,2015-08-22T22:27:32.781Z,"76km SSW of Unalaska, Alaska",earthquake
2015-08-22T13:34:48.830Z,37.5975,-118.7878333,7.03,3.71,mw,39,81,0.03362,0.04,nc,nc72510456,2015-08-25T01:25:05.334Z,"17km ESE of Mammoth Lakes, California",earthquake
2015-08-22T13:17:53.690Z,-50.0294,110.9165,10,4.8,mb,,141,16.299,0.74,us,us1000347j,2015-08-22T21:20:19.772Z,"Southeast Indian Ridge",earthquake
2015-08-22T13:03:10.700Z,14.3962,-60.2173,74.84,4.9,mb,,165,0.623,0.94,us,us1000347e,2015-08-22T14:59:19.820Z,"69km ESE of Le Vauclin, Martinique",earthquake
2015-08-22T12:33:54.250Z,40.6436667,-127.2,7.05,3.33,ml,40,296,2.187,0.22,nc,nc72510441,2015-08-25T00:58:04.257Z,"248km W of Ferndale, California",earthquake
2015-08-22T12:14:04.470Z,41.766,142.79,48.01,4.7,mb,,95,0.37,0.9,us,us1000346y,2015-08-22T13:13:09.546Z,"72km SSE of Shizunai, Japan",earthquake
2015-08-22T10:00:19.550Z,6.0549,-77.5069,13.98,4.4,mb,,105,1.956,1.03,us,us1000346t,2015-08-22T18:02:59.026Z,"22km SSW of Mutis, Colombia",earthquake
2015-08-22T09:51:45.800Z,18.4244,-68.4442,125,3.3,Md,9,345.6,0.91628159,0.2,pr,pr15234010,2015-08-22T17:54:26.460Z,"17km SSW of Punta Cana, Dominican Republic",earthquake
2015-08-22T09:47:45.300Z,19.4048,-66.3125,71,3.1,Md,5,306,1.13187726,0.01,pr,pr15234009,2015-08-22T17:50:12.447Z,"103km N of Brenas, Puerto Rico",earthquake
2015-08-22T09:34:54.000Z,52.0127,-169.4149,46.8,2.5,ml,,,,0.26,ak,ak11683158,2015-08-22T19:59:28.932Z,"109km SSW of Nikolski, Alaska",earthquake
2015-08-22T09:07:59.000Z,62.8113,-150.5827,99.5,2.9,ml,,,,0.65,ak,ak11683140,2015-08-22T17:10:33.246Z,"59km NNW of Talkeetna, Alaska",earthquake
2015-08-22T08:46:49.450Z,36.8192,-97.7837,3.06,3.8,mwr,,21,0.068,0.6,us,us1000346p,2015-08-23T06:26:47.395Z,"4km WNW of Medford, Oklahoma",earthquake
2015-08-22T08:18:59.200Z,18.7014,-65.1364,59,3.5,Md,13,201.6,0.3880722,0.25,pr,pr15234008,2015-08-22T16:21:36.552Z,"45km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-08-22T07:18:06.620Z,21.4753,146.1063,56.09,4.9,mb,,84,5.12,0.75,us,us1000346d,2015-08-22T15:20:38.774Z,"162km NE of Farallon de Pajaros, Northern Mariana Islands",earthquake
2015-08-22T06:36:07.000Z,51.5784,178.2053,53.6,2.7,ml,,,,0.37,ak,ak11683079,2015-08-22T19:59:24.685Z,"46km SSW of Little Sitkin Island, Alaska",earthquake
2015-08-22T06:31:50.600Z,19.336,-66.2942,77,3.6,Md,16,223.2,0.88124729,0.62,pr,pr15234004,2015-08-22T14:34:23.993Z,"96km N of Brenas, Puerto Rico",earthquake
2015-08-22T06:25:38.500Z,14.7083,147.0177,34.83,5.2,mb,,74,1.288,1.2,us,us1000346a,2015-08-22T14:28:38.838Z,"146km ESE of Saipan, Northern Mariana Islands",earthquake
2015-08-22T06:14:20.580Z,21.4156,145.9498,60.2,4.9,mb,,82,5.052,0.83,us,us10003469,2015-08-22T14:17:16.855Z,"146km NE of Farallon de Pajaros, Northern Mariana Islands",earthquake
2015-08-22T05:29:24.600Z,19.0037,-65.0187,15,3.1,Md,5,262.8,0.65127858,0.18,pr,pr15234007,2015-08-22T13:31:51.644Z,"73km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-08-22T05:28:14.000Z,21.5129,143.1026,316.65,5,mb,,96,5.62,0.82,us,us10003461,2015-08-22T13:30:50.036Z,"215km WNW of Farallon de Pajaros, Northern Mariana Islands",earthquake
2015-08-22T05:26:58.400Z,18.8826,-64.9858,56,3,Md,5,248.4,0.5291077,0.17,pr,pr15234006,2015-08-22T13:29:27.114Z,"60km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-08-22T05:17:28.100Z,19.1662,-64.1669,27,3.2,Md,6,316.8,0.70787244,0.34,pr,pr15234005,2015-08-22T13:19:57.311Z,"95km NNE of Road Town, British Virgin Islands",earthquake
2015-08-22T03:58:50.000Z,62.0453,-149.1412,18,2.5,ml,,,,0.53,ak,ak11683038,2015-08-22T12:01:30.803Z,"31km NNW of Sutton-Alpine, Alaska",earthquake
2015-08-22T02:35:55.000Z,18.9013,-65.2547,12,2.6,Md,3,316.8,0.59109146,0.05,pr,pr15234003,2015-08-22T10:38:30.434Z,"66km N of Culebra, Puerto Rico",earthquake
2015-08-22T02:25:06.400Z,18.7851,-64.9229,52,2.6,Md,3,255.6,0.57402347,0.09,pr,pr15234002,2015-08-22T10:27:49.398Z,"49km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2015-08-22T02:10:04.000Z,67.0859,-144.0584,10.4,2.7,ml,,,,1,ak,ak11683031,2015-08-22T10:12:34.318Z,"78km NE of Fort Yukon, Alaska",earthquake
2015-08-22T01:48:55.100Z,38.1804,74.0828,185.54,4.5,mb,,92,2.024,0.73,us,us1000345c,2015-08-22T09:51:40.786Z,"10km E of Murghob, Tajikistan",earthquake
2015-08-22T00:17:49.710Z,-24.0753,-67.2231,198.62,4.4,mb,,129,1.421,1.02,us,us10003459,2015-08-22T08:20:25.561Z,"93km W of San Antonio de los Cobres, Argentina",earthquake
2015-08-22T00:02:21.000Z,56.1599,-155.4341,63.9,3.1,ml,,,,0.34,ak,ak11682999,2015-08-22T08:04:58.762Z,"39km NNE of Chirikof Island, Alaska",earthquake
2015-08-21T23:57:10.970Z,39.7876667,-111.5275,8.36,2.61,ml,44,67,0.226,0.17,uu,uu60120847,2015-08-24T15:47:24.157Z,"19km NNW of Fairview, Utah",earthquake
2015-08-21T21:42:05.670Z,-6.1816,130.356,145.6,4.6,mb,,92,2.019,0.84,us,us10003443,2015-08-22T05:44:46.780Z,"222km NNW of Saumlaki, Indonesia",earthquake
